year, month, day, hour, minute, ateam, bteam, what, team, player
2018, 6, 14, 15,  0, rus, sau, ko, 0, 0
2018, 6, 14, 15, 42, rus, sau, goal, rus, 5
2018, 6, 14, 15, 45, rus, sau, ht, 2, 0
2018, 6, 14, 15, 71, rus, sau, goal, rus, 22
2018, 6, 14, 15, 88, rus, sau, yellow, rus, 17
2018, 6, 14, 15, 91, rus, sau, goal, rus, 6
2018, 6, 14, 15, 94, rus, sau, goal, rus, 11
2018, 6, 14, 15, 95, rus, sau, ft, 5, 0

2018, 6, 15, 14, 89, egy, urg, goal, urg, 2
2018, 6, 15, 14, 93, egy, urg, yellow, egy, 5
2018, 6, 15, 14, 96, egy, urg, yellow, egy, 6
2018, 6, 15, 14, 96, egy, urg, ft, 1, 0

2018, 6, 15, 15,  0, mor, ira, ko, 0, 0
2018, 6, 15, 15, 10, mor, ira, yellow, ira, 7
2018, 6, 15, 15, 30, mor, ira, yellow, ira, 8
2018, 6, 15, 15, 45, mor, ira, ht, 0, 0
2018, 6, 15, 15, 47, mor, ira, yellow, ira,  18
2018, 6, 15, 15, 94, mor, ira, goal, ira, 122
2018, 6, 15, 15, 96, mor, ira, ft, 1, 0


2018, 6, 15, 18,  0, por, spa, ko, 0, 0
2018, 6, 15, 18,  4, por, spa, goal, por, 7
2018, 6, 15, 18, 17, por, spa, yellow, spa, 5
2018, 6, 15, 18, 24, por, spa, goal, spa, 19
2018, 6, 15, 18, 28, por, spa, yellow, por, 16
2018, 6, 15, 18, 44, por, spa, goal, por, 7
2018, 6, 15, 18,  0, por, spa, ht, 2, 1
2018, 6, 15, 18, 55, por, spa, goal, spa, 19
2018, 6, 15, 18, 58, por, spa, goal, spa, 4
2018, 6, 15, 18, 88, por, spa, goal, por, 7
2018, 6, 15, 18,  0, por, spa, ft, 3, 3


